Date,Open,High,Low,Close
12/26/2008,"2,382.14","2,424.32","2,382.14","2,377.42"
12/24/2008,"2,382.14","2,424.32","2,382.14","2,377.42"
12/23/2008,"2,397.31","2,424.32","2,382.14","2,382.14"
12/22/2008,"2,435.27","2,435.27","2,391.17","2,397.65"
12/19/2008,"2,428.73","2,470.92","2,396.81","2,444.14"
12/18/2008,"2,450.85","2,469.47","2,430.78","2,452.42"
12/17/2008,"2,468.40","2,482.25","2,408.39","2,444.46"
12/16/2008,"2,407.00","2,450.36","2,400.21","2,450.36"
12/15/2008,"2,439.72","2,462.50","2,390.65","2,407.47"
12/12/2008,"2,456.01","2,456.01","2,339.57","2,418.91"
12/11/2008,"2,489.00","2,513.43","2,455.05","2,485.39"
12/10/2008,"2,487.22","2,505.46","2,458.70","2,495.58"
12/09/2008,"2,429.82","2,512.59","2,404.97","2,480.79"
12/08/2008,"2,278.06","2,456.24","2,278.06","2,449.28"
12/05/2008,"2,353.37","2,353.37","2,227.09","2,252.09"
12/04/2008,"2,364.73","2,435.22","2,327.66","2,368.72"
12/03/2008,"2,347.25","2,380.37","2,285.47","2,369.52"
12/02/2008,"2,269.28","2,360.93","2,237.34","2,354.13"
12/01/2008,"2,429.98","2,430.18","2,284.40","2,288.39"
11/28/2008,"2,426.03","2,436.45","2,376.78","2,430.31"
11/26/2008,"2,363.90","2,398.44","2,308.96","2,373.82"
11/25/2008,"2,367.83","2,441.38","2,320.87","2,385.90"
11/24/2008,"2,188.39","2,380.30","2,188.39","2,380.30"
11/21/2008,"2,232.44","2,266.59","2,128.29","2,165.91"
11/20/2008,"2,280.96","2,280.96","2,171.20","2,225.99"
11/19/2008,"2,390.46","2,390.46","2,293.87","2,295.36"
11/18/2008,"2,369.23","2,398.61","2,306.89","2,390.10"
11/17/2008,"2,452.82","2,460.10","2,349.78","2,364.83"
11/14/2008,"2,459.21","2,527.33","2,444.15","2,456.43"
11/13/2008,"2,384.13","2,451.64","2,364.74","2,429.94"
11/12/2008,"2,513.60","2,540.00","2,383.16","2,400.74"
11/11/2008,"2,605.54","2,605.54","2,480.70","2,483.61"
11/10/2008,"2,633.17","2,697.32","2,614.90","2,625.84"
11/07/2008,"2,545.99","2,630.06","2,502.81","2,602.54"
11/06/2008,"2,679.09","2,682.41","2,538.78","2,542.04"
11/05/2008,"2,746.55","2,753.24","2,678.65","2,710.65"
11/04/2008,"2,618.49","2,755.12","2,604.49","2,755.12"
11/03/2008,"2,601.71","2,621.10","2,570.29","2,610.04"
10/31/2008,"2,522.06","2,599.31","2,479.21","2,591.76"
10/30/2008,"2,539.02","2,596.90","2,487.35","2,528.04"
10/29/2008,"2,403.58","2,518.28","2,385.85","2,515.24"
10/28/2008,"2,306.29","2,398.46","2,292.34","2,381.68"
10/27/2008,"2,306.08","2,336.56","2,178.73","2,293.05"
10/24/2008,"2,416.31","2,416.31","2,182.75","2,333.28"
10/23/2008,"2,462.88","2,471.83","2,356.82","2,452.03"
10/22/2008,"2,574.67","2,574.67","2,448.05","2,457.97"
10/21/2008,"2,624.53","2,656.78","2,574.04","2,598.97"
10/20/2008,"2,549.29","2,620.23","2,549.29","2,613.68"
10/17/2008,"2,463.68","2,556.85","2,417.86","2,532.17"
10/16/2008,"2,556.02","2,571.37","2,378.73","2,423.80"
10/15/2008,"2,753.60","2,753.60","2,550.36","2,578.06"
10/14/2008,"2,705.38","2,855.57","2,705.23","2,756.74"
10/13/2008,"2,442.25","2,688.32","2,442.25","2,688.32"
10/10/2008,"2,620.87","2,620.87","2,326.99","2,421.87"
10/09/2008,"2,715.77","2,771.57","2,594.22","2,629.04"
10/08/2008,"2,853.70","2,877.23","2,635.53","2,694.55"
