Date,Open,High,Low,Close,,,,,,,Date SP,Date EUR,,,,
21.09.2009,"1.064,66","1.067,14","1.067,28","1.057,46",,,,,,,21.09.2009,09/21/2009,,,,
18.09.2009,"1.068,30","1.066,60","1.071,52","1.064,27",,,,,,,18.09.2009,09/18/2009,,,,
17.09.2009,"1.065,49","1.067,87","1.074,77","1.061,20",,,,,,,17.09.2009,09/17/2009,,,,
16.09.2009,"1.068,76","1.053,99","1.068,76","1.052,87",,,,,,,16.09.2009,09/16/2009,,,,
15.09.2009,"1.052,63","1.049,03","1.056,04","1.043,42",,,,,,,15.09.2009,09/15/2009,,,,
14.09.2009,"1.049,34","1.040,15","1.049,74","1.035,00",,,,,,,14.09.2009,09/14/2009,,,,
11.09.2009,"1.042,73","1.043,92","1.048,18","1.038,40",,,,,,,11.09.2009,09/11/2009,,,,
10.09.2009,"1.044,14","1.032,99","1.044,14","1.028,04",,,,,,,10.09.2009,09/10/2009,,,,
09.09.2009,"1.033,37","1.025,36","1.036,34","1.023,97",,,,,,,09.09.2009,09/09/2009,,,,
08.09.2009,"1.025,39","1.018,67","1.026,07","1.018,67",,,,,,,08.09.2009,09/08/2009,,,,
04.09.2009,"1.016,40","1.003,84","1.016,48","1.001,65",,,,,,,04.09.2009,09/04/2009,,,,
03.09.2009,"1.003,24","996,12","1.003,43","992,25",,,,,,,03.09.2009,09/03/2009,,,,
02.09.2009,"994,75","996,07","1.000,34","991,97",,,,,,,02.09.2009,09/02/2009,,,,
01.09.2009,"998,04","1.019,52","1.028,45","996,28",,,,,,,01.09.2009,09/01/2009,,,,
31.08.2009,"1.020,62","1.025,21","1.025,21","1.014,62",,,,,,,31.08.2009,08/31/2009,,,,
28.08.2009,"1.028,93","1.031,62","1.039,47","1.023,13",,,,,,,28.08.2009,08/28/2009,,,,
27.08.2009,"1.030,98","1.027,81","1.033,33","1.016,20",,,,,,,27.08.2009,08/27/2009,,,,
26.08.2009,"1.028,12","1.027,35","1.032,47","1.021,57",,,,,,,26.08.2009,08/26/2009,,,,
25.08.2009,"1.028,00","1.026,63","1.037,75","1.026,21",,,,,,,25.08.2009,08/25/2009,,,,
24.08.2009,"1.025,57","1.026,59","1.035,82","1.022,48",,,,,,,24.08.2009,08/24/2009,,,,
21.08.2009,"1.026,13","1.009,06","1.027,59","1.009,06",,,,,,,21.08.2009,08/21/2009,,,,
20.08.2009,"1.007,37","996,41","1.008,92","996,39",,,,,,,20.08.2009,08/20/2009,,,,
19.08.2009,"996,46","986,88","999,61","980,62",,,,,,,19.08.2009,08/19/2009,,,,
18.08.2009,"989,67","980,62","991,20","980,62",,,,,,,18.08.2009,08/18/2009,,,,
